timestamp	path_msa	n_seqs	n_cols	n_max_blocks	t_max_blocks
Fri Oct 28 16:03:28 2022	/home/disco/Data/pandora-msas/msas/Cluster_11745.fa	157	65	9	1.2069518566131592	
Fri Oct 28 16:03:31 2022	/home/disco/Data/pandora-msas/msas/Cluster_11750.fa	157	65	23	2.3292243480682373	
Fri Oct 28 16:03:33 2022	/home/disco/Data/pandora-msas/msas/Cluster_11771.fa	157	65	33	2.7517683506011963	
Fri Oct 28 16:03:39 2022	/home/disco/Data/pandora-msas/msas/Cluster_11767.fa	268	65	144	5.977878570556641	
Fri Oct 28 16:03:40 2022	/home/disco/Data/pandora-msas/msas/Cluster_11729.fa	3	66	3	1.0320885181427002	
Fri Oct 28 16:03:41 2022	/home/disco/Data/pandora-msas/msas/Cluster_11696.fa	4	66	2	0.6833367347717285	
Fri Oct 28 16:03:42 2022	/home/disco/Data/pandora-msas/msas/Cluster_11869.fa	4	66	4	0.6390490531921387	
Fri Oct 28 16:03:42 2022	/home/disco/Data/pandora-msas/msas/Cluster_11689.fa	6	66	3	0.6011617183685303	
Fri Oct 28 16:03:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_11682.fa	8	66	2	0.674464225769043	
Fri Oct 28 16:03:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_11713.fa	17	66	1	0.4875214099884033	
Fri Oct 28 16:03:45 2022	/home/disco/Data/pandora-msas/msas/Cluster_11715.fa	17	66	8	1.2138936519622803	
Fri Oct 28 16:03:46 2022	/home/disco/Data/pandora-msas/msas/Cluster_11693.fa	18	66	4	1.1895627975463867	
Fri Oct 28 16:03:48 2022	/home/disco/Data/pandora-msas/msas/Cluster_11695.fa	25	66	14	1.9561753273010254	
Fri Oct 28 16:03:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_11684.fa	30	66	5	1.0468814373016357	
Fri Oct 28 16:03:50 2022	/home/disco/Data/pandora-msas/msas/Cluster_11683.fa	46	66	7	1.0401701927185059	
Fri Oct 28 16:03:50 2022	/home/disco/Data/pandora-msas/msas/Cluster_11679.fa	46	66	3	0.613429069519043	
Fri Oct 28 16:03:51 2022	/home/disco/Data/pandora-msas/msas/Cluster_11671.fa	68	66	2	0.7335975170135498	
Fri Oct 28 16:03:54 2022	/home/disco/Data/pandora-msas/msas/Cluster_11677.fa	136	66	30	2.702847719192505	
Fri Oct 28 16:03:55 2022	/home/disco/Data/pandora-msas/msas/Cluster_11674.fa	156	66	2	0.6754834651947021	
Fri Oct 28 16:03:55 2022	/home/disco/Data/pandora-msas/msas/Cluster_11673.fa	156	66	2	0.6680483818054199	
Fri Oct 28 16:03:56 2022	/home/disco/Data/pandora-msas/msas/Cluster_11672.fa	157	66	5	1.0932178497314453	
Fri Oct 28 16:03:57 2022	/home/disco/Data/pandora-msas/msas/Cluster_11685.fa	157	66	4	1.120786428451538	
Fri Oct 28 16:03:58 2022	/home/disco/Data/pandora-msas/msas/Cluster_11675.fa	157	66	5	1.0239052772521973	
Fri Oct 28 16:03:59 2022	/home/disco/Data/pandora-msas/msas/Cluster_11646.fa	2	67	4	0.6722288131713867	
Fri Oct 28 16:04:00 2022	/home/disco/Data/pandora-msas/msas/Cluster_11645.fa	2	67	3	0.6528322696685791	
Fri Oct 28 16:04:01 2022	/home/disco/Data/pandora-msas/msas/Cluster_11665.fa	3	67	8	1.1243305206298828	
Fri Oct 28 16:04:02 2022	/home/disco/Data/pandora-msas/msas/Cluster_11628.fa	3	67	3	0.796220064163208	
Fri Oct 28 16:04:02 2022	/home/disco/Data/pandora-msas/msas/Cluster_11618.fa	7	67	3	0.6576371192932129	
Fri Oct 28 16:04:03 2022	/home/disco/Data/pandora-msas/msas/Cluster_11660.fa	11	67	2	0.6963138580322266	
Fri Oct 28 16:04:04 2022	/home/disco/Data/pandora-msas/msas/Cluster_11636.fa	12	67	1	0.772597074508667	
Fri Oct 28 16:04:05 2022	/home/disco/Data/pandora-msas/msas/Cluster_11629.fa	12	67	2	0.6668293476104736	
Fri Oct 28 16:04:06 2022	/home/disco/Data/pandora-msas/msas/Cluster_11621.fa	22	67	9	1.3766837120056152	
Fri Oct 28 16:04:10 2022	/home/disco/Data/pandora-msas/msas/Cluster_11617.fa	24	67	47	3.681288003921509	
Fri Oct 28 16:04:10 2022	/home/disco/Data/pandora-msas/msas/Cluster_11619.fa	28	67	3	0.8014082908630371	
Fri Oct 28 16:04:13 2022	/home/disco/Data/pandora-msas/msas/Cluster_11625.fa	28	67	23	2.7718095779418945	
Fri Oct 28 16:04:15 2022	/home/disco/Data/pandora-msas/msas/Cluster_11622.fa	34	67	8	1.9192707538604736	
Fri Oct 28 16:04:17 2022	/home/disco/Data/pandora-msas/msas/Cluster_11626.fa	50	67	14	1.92401123046875	
Fri Oct 28 16:04:19 2022	/home/disco/Data/pandora-msas/msas/Cluster_11620.fa	72	67	16	2.3260843753814697	
Fri Oct 28 16:04:22 2022	/home/disco/Data/pandora-msas/msas/Cluster_11616.fa	74	67	9	2.3999574184417725	
Fri Oct 28 16:04:26 2022	/home/disco/Data/pandora-msas/msas/Cluster_11610.fa	147	67	24	4.461520671844482	
Fri Oct 28 16:04:28 2022	/home/disco/Data/pandora-msas/msas/Cluster_11609.fa	155	67	8	2.0104482173919678	
Fri Oct 28 16:04:30 2022	/home/disco/Data/pandora-msas/msas/Cluster_11608.fa	156	67	2	1.8484199047088623	
Fri Oct 28 16:04:33 2022	/home/disco/Data/pandora-msas/msas/Cluster_11631.fa	157	67	13	3.422515392303467	
Fri Oct 28 16:04:36 2022	/home/disco/Data/pandora-msas/msas/Cluster_11611.fa	157	67	14	2.7662055492401123	
Fri Oct 28 16:04:38 2022	/home/disco/Data/pandora-msas/msas/Cluster_11614.fa	157	67	5	1.44600510597229	
Fri Oct 28 16:04:40 2022	/home/disco/Data/pandora-msas/msas/Cluster_11615.fa	157	67	16	2.2810416221618652	
Fri Oct 28 16:04:41 2022	/home/disco/Data/pandora-msas/msas/Cluster_11564.fa	2	68	5	0.7821929454803467	
Fri Oct 28 16:04:42 2022	/home/disco/Data/pandora-msas/msas/Cluster_11599.fa	2	68	2	0.8559057712554932	
Fri Oct 28 16:04:42 2022	/home/disco/Data/pandora-msas/msas/Cluster_11593.fa	2	68	4	0.7009921073913574	
Fri Oct 28 16:04:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_11566.fa	3	68	5	0.8237290382385254	
Fri Oct 28 16:04:45 2022	/home/disco/Data/pandora-msas/msas/Cluster_11569.fa	4	68	7	1.493690013885498	
Fri Oct 28 16:04:46 2022	/home/disco/Data/pandora-msas/msas/Cluster_11562.fa	5	68	25	1.7509453296661377	
Fri Oct 28 16:04:48 2022	/home/disco/Data/pandora-msas/msas/Cluster_11559.fa	9	68	10	1.717883586883545	
Fri Oct 28 16:04:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_11541.fa	10	68	2	0.9031791687011719	
Fri Oct 28 16:04:51 2022	/home/disco/Data/pandora-msas/msas/Cluster_11548.fa	10	68	20	1.581406831741333	
Fri Oct 28 16:04:52 2022	/home/disco/Data/pandora-msas/msas/Cluster_11585.fa	12	68	4	1.0673036575317383	
Fri Oct 28 16:04:53 2022	/home/disco/Data/pandora-msas/msas/Cluster_11574.fa	16	68	4	1.0695233345031738	
Fri Oct 28 16:04:54 2022	/home/disco/Data/pandora-msas/msas/Cluster_11551.fa	17	68	18	1.3865792751312256	
Fri Oct 28 16:04:55 2022	/home/disco/Data/pandora-msas/msas/Cluster_11573.fa	17	68	5	1.146021842956543	
Fri Oct 28 16:04:56 2022	/home/disco/Data/pandora-msas/msas/Cluster_11555.fa	18	68	2	0.7578647136688232	
Fri Oct 28 16:04:58 2022	/home/disco/Data/pandora-msas/msas/Cluster_11547.fa	19	68	18	1.5658900737762451	
Fri Oct 28 16:04:59 2022	/home/disco/Data/pandora-msas/msas/Cluster_11543.fa	22	68	5	1.2052066326141357	
Fri Oct 28 16:05:03 2022	/home/disco/Data/pandora-msas/msas/Cluster_11558.fa	24	68	39	3.9352967739105225	
Fri Oct 28 16:05:03 2022	/home/disco/Data/pandora-msas/msas/Cluster_11544.fa	24	68	3	0.756331205368042	
Fri Oct 28 16:05:05 2022	/home/disco/Data/pandora-msas/msas/Cluster_11553.fa	30	68	14	1.7482783794403076	
Fri Oct 28 16:05:07 2022	/home/disco/Data/pandora-msas/msas/Cluster_11540.fa	32	68	12	2.0445358753204346	
Fri Oct 28 16:05:09 2022	/home/disco/Data/pandora-msas/msas/Cluster_11575.fa	42	68	7	2.0310091972351074	
Fri Oct 28 16:05:14 2022	/home/disco/Data/pandora-msas/msas/Cluster_11554.fa	83	68	42	4.560739278793335	
Fri Oct 28 16:05:17 2022	/home/disco/Data/pandora-msas/msas/Cluster_11605.fa	133	68	27	3.6316914558410645	
Fri Oct 28 16:05:20 2022	/home/disco/Data/pandora-msas/msas/Cluster_11539.fa	140	68	14	2.447495222091675	
Fri Oct 28 16:05:22 2022	/home/disco/Data/pandora-msas/msas/Cluster_11535.fa	155	68	9	1.8714606761932373	
Fri Oct 28 16:05:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_11538.fa	157	68	9	1.6429662704467773	
Fri Oct 28 16:05:26 2022	/home/disco/Data/pandora-msas/msas/Cluster_11537.fa	158	68	27	2.978752851486206	
Fri Oct 28 16:05:28 2022	/home/disco/Data/pandora-msas/msas/Cluster_11584.fa	158	68	4	1.2765581607818604	
Fri Oct 28 16:05:40 2022	/home/disco/Data/pandora-msas/msas/Cluster_11542.fa	230	68	189	12.222533941268921	
Fri Oct 28 16:05:41 2022	/home/disco/Data/pandora-msas/msas/Cluster_11495.fa	2	69	7	0.8964550495147705	
Fri Oct 28 16:05:42 2022	/home/disco/Data/pandora-msas/msas/Cluster_11488.fa	2	69	2	1.1544957160949707	
Fri Oct 28 16:05:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_11472.fa	3	69	2	1.0038554668426514	
Fri Oct 28 16:05:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_11500.fa	3	69	2	0.809328556060791	
Fri Oct 28 16:05:45 2022	/home/disco/Data/pandora-msas/msas/Cluster_11467.fa	5	69	2	0.9281845092773438	
Fri Oct 28 16:05:46 2022	/home/disco/Data/pandora-msas/msas/Cluster_11501.fa	5	69	10	1.3323123455047607	
Fri Oct 28 16:05:47 2022	/home/disco/Data/pandora-msas/msas/Cluster_11504.fa	6	69	2	0.8460607528686523	
Fri Oct 28 16:05:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_11497.fa	15	69	14	1.6699118614196777	
Fri Oct 28 16:05:50 2022	/home/disco/Data/pandora-msas/msas/Cluster_11475.fa	20	69	15	1.8984737396240234	
Fri Oct 28 16:05:52 2022	/home/disco/Data/pandora-msas/msas/Cluster_11474.fa	21	69	5	1.2767202854156494	
Fri Oct 28 16:05:53 2022	/home/disco/Data/pandora-msas/msas/Cluster_11476.fa	22	69	5	1.4779815673828125	
Fri Oct 28 16:05:54 2022	/home/disco/Data/pandora-msas/msas/Cluster_11491.fa	32	69	3	0.855400562286377	
Fri Oct 28 16:05:57 2022	/home/disco/Data/pandora-msas/msas/Cluster_11494.fa	34	69	12	2.857591390609741	
Fri Oct 28 16:05:58 2022	/home/disco/Data/pandora-msas/msas/Cluster_11470.fa	44	69	2	0.9780960083007812	
Fri Oct 28 16:06:01 2022	/home/disco/Data/pandora-msas/msas/Cluster_11510.fa	48	69	21	3.137887716293335	
Fri Oct 28 16:06:03 2022	/home/disco/Data/pandora-msas/msas/Cluster_11469.fa	62	69	10	2.187997579574585	
Fri Oct 28 16:06:06 2022	/home/disco/Data/pandora-msas/msas/Cluster_11471.fa	67	69	27	3.1291046142578125	
Fri Oct 28 16:06:07 2022	/home/disco/Data/pandora-msas/msas/GC00003990.fa	94	69	2	0.9945197105407715	
Fri Oct 28 16:06:09 2022	/home/disco/Data/pandora-msas/msas/Cluster_11461.fa	112	69	11	1.8534698486328125	
Fri Oct 28 16:06:12 2022	/home/disco/Data/pandora-msas/msas/Cluster_11459.fa	130	69	34	3.206329345703125	
Fri Oct 28 16:06:17 2022	/home/disco/Data/pandora-msas/msas/Cluster_11463.fa	154	69	42	4.818646430969238	
Fri Oct 28 16:06:21 2022	/home/disco/Data/pandora-msas/msas/Cluster_11462.fa	155	69	14	3.2632713317871094	
Fri Oct 28 16:06:22 2022	/home/disco/Data/pandora-msas/msas/Cluster_11464.fa	155	69	8	1.9149034023284912	
Fri Oct 28 16:06:25 2022	/home/disco/Data/pandora-msas/msas/Cluster_11458.fa	157	69	16	2.2122116088867188	
Fri Oct 28 16:06:25 2022	/home/disco/Data/pandora-msas/msas/Cluster_11457.fa	157	69	2	0.7474110126495361	
Fri Oct 28 16:06:28 2022	/home/disco/Data/pandora-msas/msas/Cluster_11522.fa	157	69	14	2.1990041732788086	
Fri Oct 28 16:06:29 2022	/home/disco/Data/pandora-msas/msas/Cluster_11456.fa	157	69	8	1.5280835628509521	
Fri Oct 28 16:06:30 2022	/home/disco/Data/pandora-msas/msas/Cluster_11446.fa	2	70	2	0.7989540100097656	
Fri Oct 28 16:06:31 2022	/home/disco/Data/pandora-msas/msas/Cluster_11409.fa	2	70	2	0.8047983646392822	
Fri Oct 28 16:06:32 2022	/home/disco/Data/pandora-msas/msas/Cluster_11432.fa	3	70	5	1.1936135292053223	
Fri Oct 28 16:06:33 2022	/home/disco/Data/pandora-msas/msas/Cluster_11450.fa	3	70	1	0.7422549724578857	
Fri Oct 28 16:06:34 2022	/home/disco/Data/pandora-msas/msas/Cluster_11602.fa	3	70	12	1.1817126274108887	
Fri Oct 28 16:06:35 2022	/home/disco/Data/pandora-msas/msas/Cluster_11425.fa	4	70	2	0.8456192016601562	
Fri Oct 28 16:06:35 2022	/home/disco/Data/pandora-msas/msas/Cluster_11415.fa	5	70	3	0.7317085266113281	
Fri Oct 28 16:06:36 2022	/home/disco/Data/pandora-msas/msas/Cluster_11438.fa	5	70	1	0.7182371616363525	
Fri Oct 28 16:06:37 2022	/home/disco/Data/pandora-msas/msas/Cluster_11439.fa	6	70	9	1.2087059020996094	
Fri Oct 28 16:06:39 2022	/home/disco/Data/pandora-msas/msas/Cluster_11423.fa	9	70	4	1.3760251998901367	
Fri Oct 28 16:06:40 2022	/home/disco/Data/pandora-msas/msas/Cluster_11418.fa	9	70	1	0.9684438705444336	
Fri Oct 28 16:06:41 2022	/home/disco/Data/pandora-msas/msas/Cluster_11413.fa	9	70	6	1.417280673980713	
Fri Oct 28 16:06:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_11401.fa	10	70	9	1.7885491847991943	
Fri Oct 28 16:06:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_11405.fa	13	70	5	1.3478646278381348	
Fri Oct 28 16:06:45 2022	/home/disco/Data/pandora-msas/msas/Cluster_11417.fa	14	70	2	0.8654360771179199	
Fri Oct 28 16:06:47 2022	/home/disco/Data/pandora-msas/msas/Cluster_11429.fa	20	70	5	1.6291468143463135	
Fri Oct 28 16:06:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_11408.fa	34	70	11	1.7520725727081299	
Fri Oct 28 16:06:52 2022	/home/disco/Data/pandora-msas/msas/Cluster_11410.fa	40	70	31	3.3185245990753174	
Fri Oct 28 16:06:53 2022	/home/disco/Data/pandora-msas/msas/Cluster_11403.fa	40	70	4	1.0413177013397217	
Fri Oct 28 16:15:19 2022	/home/disco/Data/pandora-msas/msas/Cluster_9408.fa	2	103	1	1.4827303886413574	
Fri Oct 28 16:15:21 2022	/home/disco/Data/pandora-msas/msas/Cluster_9431.fa	3	103	2	2.435567617416382	
Fri Oct 28 16:15:24 2022	/home/disco/Data/pandora-msas/msas/Cluster_9405.fa	4	103	14	3.0478575229644775	
Fri Oct 28 16:15:27 2022	/home/disco/Data/pandora-msas/msas/Cluster_9511.fa	5	103	14	2.3430123329162598	
Fri Oct 28 16:15:29 2022	/home/disco/Data/pandora-msas/msas/Cluster_9426.fa	7	103	4	2.7037320137023926	
Fri Oct 28 16:15:36 2022	/home/disco/Data/pandora-msas/msas/Cluster_9418.fa	8	103	24	6.378816366195679	
Fri Oct 28 16:15:38 2022	/home/disco/Data/pandora-msas/msas/Cluster_9403.fa	10	103	4	1.8298637866973877	
Fri Oct 28 16:15:40 2022	/home/disco/Data/pandora-msas/msas/Cluster_9401.fa	11	103	2	1.9556076526641846	
Fri Oct 28 16:15:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_9402.fa	12	103	9	4.024733543395996	
Fri Oct 28 16:15:45 2022	/home/disco/Data/pandora-msas/msas/Cluster_9407.fa	20	103	6	1.8300607204437256	
Fri Oct 28 16:15:51 2022	/home/disco/Data/pandora-msas/msas/Cluster_9411.fa	20	103	19	5.989330768585205	
Fri Oct 28 16:15:56 2022	/home/disco/Data/pandora-msas/msas/Cluster_9397.fa	38	103	18	4.704420566558838	
Fri Oct 28 16:16:03 2022	/home/disco/Data/pandora-msas/msas/Cluster_9392.fa	113	103	21	6.6321985721588135	
Fri Oct 28 16:16:12 2022	/home/disco/Data/pandora-msas/msas/Cluster_9394.fa	146	103	32	9.54559588432312	
Fri Oct 28 16:16:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_9428.fa	154	103	59	11.14630913734436	
Fri Oct 28 16:16:32 2022	/home/disco/Data/pandora-msas/msas/Cluster_9395.fa	156	103	28	8.771018505096436	
Fri Oct 28 16:16:36 2022	/home/disco/Data/pandora-msas/msas/Cluster_9396.fa	157	103	5	3.246884822845459	
Fri Oct 28 16:16:45 2022	/home/disco/Data/pandora-msas/msas/Cluster_9409.fa	157	103	54	9.896742820739746	
Fri Oct 28 16:16:47 2022	/home/disco/Data/pandora-msas/msas/Cluster_9393.fa	157	103	2	1.9734525680541992	
Fri Oct 28 16:16:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_9520.fa	2	104	6	1.8269832134246826	
Fri Oct 28 16:16:52 2022	/home/disco/Data/pandora-msas/msas/Cluster_9379.fa	2	104	1	2.365765333175659	
Fri Oct 28 16:16:54 2022	/home/disco/Data/pandora-msas/msas/Cluster_9364.fa	3	104	2	1.9673476219177246	
Fri Oct 28 16:16:55 2022	/home/disco/Data/pandora-msas/msas/Cluster_9357.fa	4	104	2	1.8850641250610352	
Fri Oct 28 16:16:57 2022	/home/disco/Data/pandora-msas/msas/Cluster_9376.fa	4	104	3	1.9206316471099854	
Fri Oct 28 16:16:59 2022	/home/disco/Data/pandora-msas/msas/Cluster_9352.fa	6	104	4	2.0284457206726074	
Fri Oct 28 16:17:03 2022	/home/disco/Data/pandora-msas/msas/Cluster_9345.fa	10	104	5	3.57196044921875	
Fri Oct 28 16:17:06 2022	/home/disco/Data/pandora-msas/msas/Cluster_9354.fa	12	104	5	3.0046398639678955	
Fri Oct 28 16:17:08 2022	/home/disco/Data/pandora-msas/msas/Cluster_9347.fa	14	104	2	1.7517127990722656	
Fri Oct 28 16:17:10 2022	/home/disco/Data/pandora-msas/msas/Cluster_9355.fa	14	104	2	1.9709410667419434	
Fri Oct 28 16:17:12 2022	/home/disco/Data/pandora-msas/msas/Cluster_9390.fa	21	104	4	2.5029540061950684	
Fri Oct 28 16:17:21 2022	/home/disco/Data/pandora-msas/msas/Cluster_9419.fa	36	104	28	9.021010637283325	
Fri Oct 28 16:17:30 2022	/home/disco/Data/pandora-msas/msas/Cluster_9344.fa	41	104	43	8.988944292068481	
Fri Oct 28 16:17:33 2022	/home/disco/Data/pandora-msas/msas/Cluster_9349.fa	94	104	7	2.894531011581421	
Fri Oct 28 16:17:37 2022	/home/disco/Data/pandora-msas/msas/Cluster_9342.fa	99	104	15	4.278924942016602	
Fri Oct 28 16:17:39 2022	/home/disco/Data/pandora-msas/msas/Cluster_9338.fa	144	104	2	1.7624092102050781	
Fri Oct 28 16:17:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_9341.fa	155	104	18	5.035907030105591	
Fri Oct 28 16:17:51 2022	/home/disco/Data/pandora-msas/msas/Cluster_9374.fa	157	104	17	6.368335485458374	
Fri Oct 28 16:17:54 2022	/home/disco/Data/pandora-msas/msas/Cluster_9339.fa	157	104	5	3.348071336746216	
Fri Oct 28 16:18:02 2022	/home/disco/Data/pandora-msas/msas/Cluster_9336.fa	157	104	35	7.6217200756073	
Fri Oct 28 16:18:05 2022	/home/disco/Data/pandora-msas/msas/Cluster_9340.fa	158	104	4	3.2298946380615234	
Fri Oct 28 16:18:07 2022	/home/disco/Data/pandora-msas/msas/Cluster_9327.fa	2	105	4	1.924145221710205	
Fri Oct 28 16:18:08 2022	/home/disco/Data/pandora-msas/msas/Cluster_9323.fa	2	105	9	1.4972453117370605	
Fri Oct 28 16:18:10 2022	/home/disco/Data/pandora-msas/msas/Cluster_9314.fa	2	105	5	1.3908741474151611	
Fri Oct 28 16:18:12 2022	/home/disco/Data/pandora-msas/msas/Cluster_9333.fa	2	105	1	2.2621753215789795	
Fri Oct 28 16:18:13 2022	/home/disco/Data/pandora-msas/msas/Cluster_9322.fa	2	105	1	1.6093857288360596	
Fri Oct 28 16:18:15 2022	/home/disco/Data/pandora-msas/msas/GC00004512_23.fa	3	105	3	1.584564208984375	
Fri Oct 28 16:18:17 2022	/home/disco/Data/pandora-msas/msas/Cluster_9307.fa	3	105	5	1.8249623775482178	
Fri Oct 28 16:18:20 2022	/home/disco/Data/pandora-msas/msas/Cluster_9335.fa	4	105	4	3.039095878601074	
Fri Oct 28 16:18:23 2022	/home/disco/Data/pandora-msas/msas/Cluster_9302.fa	5	105	26	2.6506214141845703	
Fri Oct 28 16:18:25 2022	/home/disco/Data/pandora-msas/msas/Cluster_9317.fa	6	105	8	2.15810227394104	
Fri Oct 28 16:44:18 2022	/home/disco/Data/pandora-msas/msas/Cluster_1055.fa	3	3	408	22	83.0163745880127	
Fri Oct 28 16:45:37 2022	/home/disco/Data/pandora-msas/msas/GC00008112_2.fa	3	3	408	12	79.06610321998596	
Fri Oct 28 16:46:14 2022	/home/disco/Data/pandora-msas/msas/Cluster_1059.fa	3	2	408	16	37.31135320663452	
Fri Oct 28 16:47:05 2022	/home/disco/Data/pandora-msas/msas/GC00008109_2.fa	3	2	408	3	50.40994572639465	
Fri Oct 28 16:48:12 2022	/home/disco/Data/pandora-msas/msas/GC00006201_1.fa	3	2	408	3	67.16119599342346	
Fri Oct 28 16:49:28 2022	/home/disco/Data/pandora-msas/msas/GC00007719_2.fa	4	2	408	1	75.83991360664368	
Fri Oct 28 16:50:42 2022	/home/disco/Data/pandora-msas/msas/GC00007341.fa	6	2	408	1	74.64907312393188	
Fri Oct 28 16:51:18 2022	/home/disco/Data/pandora-msas/msas/GC00007167.fa	6	2	408	25	36.181307792663574	
Fri Oct 28 16:52:43 2022	/home/disco/Data/pandora-msas/msas/GC00003471_3.fa	7	3	408	20	84.19814348220825	
Fri Oct 28 16:54:02 2022	/home/disco/Data/pandora-msas/msas/GC00003627_2.fa	8	3	408	61	79.71208477020264	
Fri Oct 28 16:56:47 2022	/home/disco/Data/pandora-msas/msas/GC00005794_5.fa	8	7	408	120	164.44659328460693	
Fri Oct 28 17:01:04 2022	/home/disco/Data/pandora-msas/msas/GC00005555_1.fa	10	9	408	116	257.3718755245209	
